REF,parcours_norm,sexe,age,tranche_age,dep_code,is_local_13,lead_days,has_club,promo_used,present,segment
397799,12km,H,44,35-44,34,False,8,False,False,True,1
397807,12km,H,33,25-34,34,False,8,False,False,True,1
397825,12km,H,69,65+,13,True,8,False,False,True,2
397838,12km,F,45,45-54,13,True,8,True,False,True,0
397845,12km,F,38,35-44,13,True,8,False,False,True,2
398156,21km,H,47,45-54,13,True,302,False,False,True,4
398175,12km,F,29,25-34,13,True,302,False,False,True,2
398177,21km,H,32,25-34,13,True,302,False,False,True,4
398186,12km,F,55,55-64,84,False,302,False,False,True,1
398256,21km,F,54,45-54,77,False,302,False,False,True,1
398333,21km,H,27,25-34,13,True,302,False,False,True,4
398363,12km,H,53,45-54,13,True,302,False,False,True,2
398376,12km,F,34,25-34,13,True,302,False,False,True,2
398378,12km,F,33,25-34,13,True,302,False,True,True,3
398387,12km,H,29,25-34,49,False,302,False,False,True,1
398397,12km,H,29,25-34,13,True,302,False,False,True,2
398437,21km,H,33,25-34,13,True,302,True,False,True,0
398449,12km,F,28,25-34,06,False,302,False,False,True,1
398455,12km,H,47,45-54,13,True,302,False,False,True,2
398464,21km,H,22,18-24,25,False,302,False,False,True,1
398465,21km,H,25,25-34,13,True,302,False,True,True,3
398467,21km,F,25,25-34,13,True,302,False,True,True,3
398469,21km,F,47,45-54,13,True,302,False,False,True,4
398480,21km,H,47,45-54,13,True,302,False,False,True,4
398494,12km,H,41,35-44,13,True,302,False,False,True,2
398499,12km,F,29,25-34,13,True,302,False,False,True,2
398509,12km,F,28,25-34,63,False,302,True,False,True,0
398520,21km,H,28,25-34,13,True,302,False,False,False,4
398547,12km,H,26,25-34,13,True,302,False,False,True,2
398565,12km,H,55,55-64,13,True,302,False,False,True,2
398568,12km,F,54,45-54,13,True,302,True,False,True,0
398571,21km,H,60,55-64,13,True,302,False,False,True,4
398613,12km,F,27,25-34,13,True,302,False,False,True,2
398657,12km,F,50,45-54,13,True,302,False,True,True,3
398747,12km,F,23,18-24,13,True,302,False,False,True,2
398750,12km,F,23,18-24,13,True,302,False,False,True,2
398778,21km,H,28,25-34,13,True,302,False,False,True,4
398793,12km,H,36,35-44,13,True,302,False,False,True,2
398806,12km,H,25,25-34,13,True,302,True,True,True,0
398816,12km,F,33,25-34,31,False,302,True,True,True,0
398822,21km,H,51,45-54,34,False,302,False,False,True,1
398838,12km,F,34,25-34,13,True,302,False,False,True,2
398855,21km,F,31,25-34,13,True,302,False,True,True,3
398857,21km,H,39,35-44,13,True,302,False,True,True,3
398887,12km,H,42,35-44,13,True,302,False,False,False,2
398891,12km,F,32,25-34,13,True,302,False,False,True,2
398894,12km,H,32,25-34,13,True,302,False,False,True,2
398899,12km,H,34,25-34,13,True,302,False,False,True,2
398939,12km,H,39,35-44,83,False,302,False,False,True,1
398967,12km,H,27,25-34,29,False,302,False,False,True,1
399041,12km,H,17,<18,13,True,271,False,True,False,3
399056,12km,H,29,25-34,13,True,271,False,False,True,2
399060,12km,F,25,25-34,56,False,271,False,False,True,1
399065,12km,F,20,18-24,13,True,271,False,False,False,2
399078,12km,F,20,18-24,13,True,271,False,False,True,2
399080,12km,F,56,55-64,13,True,271,False,False,True,2
399113,21km,H,37,35-44,13,True,271,False,False,True,4
399121,21km,H,35,35-44,13,True,271,False,False,True,4
399123,12km,F,27,25-34,13,True,271,False,False,True,2
399124,12km,F,23,18-24,13,True,271,False,True,True,3
399126,12km,H,23,18-24,13,True,271,False,False,True,2
399143,21km,H,24,18-24,13,True,271,False,False,True,4
399147,12km,H,45,45-54,13,True,271,False,False,True,2
399174,12km,F,25,25-34,13,True,271,False,False,True,2
399187,21km,H,39,35-44,13,True,271,False,False,True,4
399189,12km,F,34,25-34,13,True,271,False,False,True,2
399204,21km,H,45,45-54,13,True,271,True,True,True,0
399205,12km,F,38,35-44,13,True,271,False,False,True,2
399212,12km,F,51,45-54,13,True,271,False,False,True,2
399228,12km,F,30,25-34,01,False,271,True,True,True,0
399232,12km,H,28,25-34,13,True,271,False,False,True,2
399236,21km,F,59,55-64,13,True,271,False,False,True,4
399240,12km,F,35,35-44,13,True,271,True,False,True,0
399245,21km,F,40,35-44,13,True,271,False,False,True,4
399248,12km,H,26,25-34,13,True,271,False,True,True,3
399271,21km,H,23,18-24,13,True,271,False,False,True,4
399282,12km,F,39,35-44,13,True,271,True,False,True,0
399284,12km,H,28,25-34,04,False,271,False,False,True,1
399286,21km,H,30,25-34,13,True,271,False,False,True,4
399288,12km,H,27,25-34,04,False,271,False,False,True,1
399295,12km,F,39,35-44,21,False,271,True,False,True,0
399298,21km,H,59,55-64,01,False,271,False,False,True,1
399302,21km,H,32,25-34,13,True,271,True,False,True,0
399317,12km,H,37,35-44,13,True,271,False,False,True,2
399329,12km,H,46,45-54,13,True,271,False,False,True,2
399339,12km,H,36,35-44,13,True,271,False,False,True,2
399361,21km,H,34,25-34,13,True,271,False,True,True,3
399364,12km,H,35,35-44,13,True,271,True,False,False,0
399368,21km,H,30,25-34,13,True,271,False,True,True,3
399375,12km,H,46,45-54,13,True,271,False,False,True,2
399380,12km,F,42,35-44,13,True,271,False,False,True,2
399382,12km,F,48,45-54,13,True,271,False,False,True,2
399391,21km,H,26,25-34,13,True,271,False,False,True,4
399396,21km,H,27,25-34,33,False,271,False,False,True,1
399398,12km,F,32,25-34,13,True,271,False,False,True,2
399399,12km,F,34,25-34,13,True,271,False,False,True,2
399403,12km,H,46,45-54,13,True,271,False,False,True,2
399406,12km,H,22,18-24,13,True,271,False,False,True,2
399409,12km,F,21,18-24,13,True,271,False,False,True,2
399413,12km,H,30,25-34,13,True,271,False,False,True,2
399420,21km,F,45,45-54,13,True,271,False,False,True,4
399457,12km,H,49,45-54,13,True,271,False,False,True,2
399473,12km,F,44,35-44,13,True,271,False,False,True,2
399477,21km,H,27,25-34,13,True,271,False,False,True,4
399482,12km,H,49,45-54,13,True,271,False,False,True,2
399486,12km,H,36,35-44,13,True,271,False,True,True,3
399492,21km,H,25,25-34,13,True,271,True,False,True,0
399495,12km,F,23,18-24,13,True,242,False,True,True,3
399496,12km,H,19,18-24,13,True,242,False,True,True,3
